sale_id,sale_date,customer_id,product,category,quantity,price,store_id,payment_method
10001,2026-05-21,C6618,Laptop,Computers,5,899.99,S003,Debit Card
10002,2026-01-30,C5189,Wireless Mouse,Accessories,4,24.99,S005,Cash
10003,2026-06-03,C4115,USB Hub,Accessories,4,34.99,S001,Cash
10004,2026-04-22,C3310,External SSD,Storage,4,129.99,S004,Cash
10005,2026-02-07,C2279,Laptop,Computers,3,899.99,S004,Cash
10006,2026-06-25,C3763,Keyboard,Accessories,2,49.99,S005,Cash
10007,2026-02-23,C9559,USB-C Cable,Accessories,4,14.99,S005,Mobile Payment
10008,2026-03-25,C3366,USB-C Cable,Accessories,2,14.99,S005,Cash
10009,2026-01-09,C5843,Webcam,Electronics,3,79.99,S001,Credit Card
10010,2026-04-07,C8707,Keyboard,Accessories,1,49.99,S001,Mobile Payment
10011,2026-03-08,C9934,Headphones,Electronics,4,99.99,S005,Credit Card
10012,2026-03-20,C9898,Headphones,Electronics,3,99.99,S004,Debit Card
10013,2026-07-06,C4634,Laptop,Computers,2,899.99,S005,Debit Card
10014,2026-07-28,C5473,USB Hub,Accessories,3,34.99,S002,Credit Card
10015,2026-04-18,C6919,Headphones,Electronics,2,99.99,S005,Debit Card
10016,2026-01-07,C8575,Laptop Stand,Accessories,3,39.99,S003,Mobile Payment
10017,2026-04-24,C7391,Monitor,Electronics,3,249.99,S002,Debit Card
10018,2026-04-30,C9365,USB Hub,Accessories,2,34.99,S003,Cash
10019,2026-05-20,C3040,Monitor,Electronics,3,249.99,S003,Mobile Payment
10020,2026-06-16,C2108,Laptop Stand,Accessories,1,39.99,S003,Debit Card
10021,2026-04-30,C6991,External SSD,Storage,4,129.99,S004,Debit Card
10022,2026-06-19,C8577,Laptop Stand,Accessories,2,39.99,S003,Credit Card
10023,2026-05-16,C5042,Laptop Stand,Accessories,5,39.99,S001,Cash
10024,2026-04-16,C8725,USB Hub,Accessories,5,34.99,S004,Credit Card
10025,2026-03-03,C8071,Monitor,Electronics,4,249.99,S002,Mobile Payment
